# T [GeV]  e [GeV/fm^3]  nB [1/fm^3]  s [1/fm^3]  P [GeV/fm^3]  cs^2
      1.00000000e-02   2.26998908e-10   0.00000000e+00  2.41713819e-08   1.47149113e-11   7.23113764e-02
      1.10000000e-02   9.40458888e-10   0.00000000e+00  9.15240975e-08   6.63061845e-11   7.84378376e-02
      1.20000000e-02   3.12182341e-09   0.00000000e+00  2.79935926e-07   2.37407701e-10   8.44681815e-02
      1.30000000e-02   8.73072192e-09   0.00000000e+00  7.26300237e-07   7.11181158e-10   9.03938483e-02
      1.40000000e-02   2.13258427e-08   0.00000000e+00  1.65539610e-06   1.84970260e-09   9.62084844e-02
      1.50000000e-02   4.67182510e-08   0.00000000e+00  3.40072791e-06   4.29266771e-09   1.01907378e-01
      1.60000000e-02   9.36383976e-08   0.00000000e+00  6.41953590e-06   9.07417685e-09   1.07487059e-01
      1.70000000e-02   1.74363619e-07   0.00000000e+00  1.13008654e-05   1.77510935e-08   1.12945014e-01
      1.80000000e-02   3.05267444e-07   0.00000000e+00  1.87668596e-05   3.25360278e-08   1.18279497e-01
      1.90000000e-02   5.07268558e-07   0.00000000e+00  2.96682724e-05   5.64286179e-08   1.23489389e-01
      2.00000000e-02   8.06171889e-07   0.00000000e+00  4.49755949e-05   9.33400078e-08   1.28574094e-01
      2.10000000e-02   1.23290528e-06   0.00000000e+00  6.57672449e-05   1.48206866e-07   1.33533452e-01
      2.20000000e-02   1.82366224e-06   0.00000000e+00  9.32161329e-05   2.27092683e-07   1.38367675e-01
      2.30000000e-02   2.61996522e-06   0.00000000e+00  1.28575674e-04   3.37275275e-07   1.43077279e-01
      2.40000000e-02   3.66866496e-06   0.00000000e+00  1.73166056e-04   4.87320381e-07   1.47663021e-01
      2.50000000e-02   5.02189140e-06   0.00000000e+00  2.28361332e-04   6.87141885e-07   1.52125843e-01
      2.60000000e-02   6.73697039e-06   0.00000000e+00  2.95577697e-04   9.48049722e-07   1.56466811e-01
      2.70000000e-02   8.87631867e-06   0.00000000e+00  3.76263163e-04   1.28278673e-06   1.60687070e-01
      2.80000000e-02   1.15073280e-05   0.00000000e+00  4.71888711e-04   1.70555590e-06   1.64787784e-01
      2.90000000e-02   1.47022474e-05   0.00000000e+00  5.83940932e-04   2.23203960e-06   1.68770104e-01
      3.00000000e-02   1.85380715e-05   0.00000000e+00  7.13916119e-04   2.87941203e-06   1.72635127e-01
      3.10000000e-02   2.30964404e-05   0.00000000e+00  8.63315710e-04   3.66634662e-06   1.76383867e-01
      3.20000000e-02   2.84635568e-05   0.00000000e+00  1.03364300e-03   4.61301936e-06   1.80017240e-01
      3.30000000e-02   3.47301243e-05   0.00000000e+00  1.22640103e-03   5.74110955e-06   1.83536048e-01
      3.40000000e-02   4.19913101e-05   0.00000000e+00  1.44309144e-03   7.07379889e-06   1.86940976e-01
      3.50000000e-02   5.03467338e-05   0.00000000e+00  1.68521439e-03   8.63576996e-06   1.90232596e-01
      3.60000000e-02   5.99004856e-05   0.00000000e+00  1.95426918e-03   1.04532050e-05   1.93411374e-01
      3.70000000e-02   7.07611735e-05   0.00000000e+00  2.25175565e-03   1.25537855e-05   1.96477684e-01
      3.80000000e-02   8.30420018e-05   0.00000000e+00  2.57917621e-03   1.49666942e-05   1.99431823e-01
      3.90000000e-02   9.68608805e-05   0.00000000e+00  2.93803843e-03   1.77226184e-05   2.02274031e-01
      4.00000000e-02   1.12340566e-04   0.00000000e+00  3.32985807e-03   2.08537568e-05   2.05004510e-01
      4.10000000e-02   1.29608832e-04   0.00000000e+00  3.75616248e-03   2.43938293e-05   2.07623447e-01
      4.20000000e-02   1.48798676e-04   0.00000000e+00  4.21849444e-03   2.83780907e-05   2.10131028e-01
      4.30000000e-02   1.70048546e-04   0.00000000e+00  4.71841614e-03   3.28433478e-05   2.12527462e-01
      4.40000000e-02   1.93502614e-04   0.00000000e+00  5.25751352e-03   3.78279812e-05   2.14812994e-01
      4.50000000e-02   2.19311061e-04   0.00000000e+00  5.83740071e-03   4.33719711e-05   2.16987923e-01
      4.60000000e-02   2.47630410e-04   0.00000000e+00  6.45972474e-03   4.95169278e-05   2.19052608e-01
      4.70000000e-02   2.78623876e-04   0.00000000e+00  7.12617027e-03   5.63061273e-05   2.21007483e-01
      4.80000000e-02   3.12461750e-04   0.00000000e+00  7.83846460e-03   6.37845508e-05   2.22853066e-01
      4.90000000e-02   3.49321821e-04   0.00000000e+00  8.59838268e-03   7.19989305e-05   2.24589956e-01
      5.00000000e-02   3.89389814e-04   0.00000000e+00  9.40775226e-03   8.09977993e-05   2.26218847e-01
      5.10000000e-02   4.32859876e-04   0.00000000e+00  1.02684593e-02   9.08315468e-05   2.27740523e-01
      5.20000000e-02   4.79935085e-04   0.00000000e+00  1.11824532e-02   1.01552479e-04   2.29155859e-01
      5.30000000e-02   5.30827993e-04   0.00000000e+00  1.21517525e-02   1.13214887e-04   2.30465823e-01
      5.40000000e-02   5.85761209e-04   0.00000000e+00  1.31784505e-02   1.25875116e-04   2.31671474e-01
      5.50000000e-02   6.44968018e-04   0.00000000e+00  1.42647211e-02   1.39591645e-04   2.32773958e-01
      5.60000000e-02   7.08693032e-04   0.00000000e+00  1.54128250e-02   1.54425169e-04   2.33774507e-01
      5.70000000e-02   7.77192890e-04   0.00000000e+00  1.66251154e-02   1.70438689e-04   2.34674436e-01
      5.80000000e-02   8.50736998e-04   0.00000000e+00  1.79040450e-02   1.87697611e-04   2.35475139e-01
      5.90000000e-02   9.29608308e-04   0.00000000e+00  1.92521721e-02   2.06269844e-04   2.36178090e-01
      6.00000000e-02   1.01410415e-03   0.00000000e+00  2.06721677e-02   2.26225910e-04   2.36784836e-01
      6.10000000e-02   1.10453711e-03   0.00000000e+00  2.21668225e-02   2.47639064e-04   2.37296997e-01
      6.20000000e-02   1.20123597e-03   0.00000000e+00  2.37390545e-02   2.70585413e-04   2.37716263e-01
      6.30000000e-02   1.30454668e-03   0.00000000e+00  2.53919163e-02   2.95144048e-04   2.38044392e-01
      6.40000000e-02   1.41483340e-03   0.00000000e+00  2.71286030e-02   3.21397185e-04   2.38283209e-01
      6.50000000e-02   1.53247965e-03   0.00000000e+00  2.89524609e-02   3.49430310e-04   2.38434600e-01
      6.60000000e-02   1.65788939e-03   0.00000000e+00  3.08669957e-02   3.79332331e-04   2.38500518e-01
      6.70000000e-02   1.79148834e-03   0.00000000e+00  3.28758819e-02   4.11195749e-04   2.38482974e-01
      6.80000000e-02   1.93372523e-03   0.00000000e+00  3.49829714e-02   4.45116827e-04   2.38384036e-01
      6.90000000e-02   2.08507322e-03   0.00000000e+00  3.71923042e-02   4.81195771e-04   2.38205832e-01
      7.00000000e-02   2.24603131e-03   0.00000000e+00  3.95081176e-02   5.19536927e-04   2.37950542e-01
      7.10000000e-02   2.41712591e-03   0.00000000e+00  4.19348575e-02   5.60248980e-04   2.37620399e-01
