# e[GeV/fm^3]  nB[1/fm^3]  P[GeV/fm^3]  T[GeV]  muB[GeV]
1.000000e-02  0.000000e+00  2.285039e-03  9.253389e-02  0.000000e+00
1.000000e-02  4.917479e-05  2.283476e-03  9.251572e-02  3.491211e-02
1.000000e-02  9.834958e-05  2.279274e-03  9.246684e-02  6.616211e-02
1.000000e-02  1.475244e-04  2.273363e-03  9.239794e-02  9.261475e-02
1.000000e-02  1.966992e-04  2.266469e-03  9.231731e-02  1.148010e-01
1.000000e-02  2.458740e-04  2.258988e-03  9.222952e-02  1.336487e-01
1.000000e-02  2.950487e-04  2.251146e-03  9.213720e-02  1.499268e-01
1.000000e-02  3.442235e-04  2.243083e-03  9.204189e-02  1.642151e-01
1.000000e-02  3.933983e-04  2.234858e-03  9.194431e-02  1.769470e-01
1.000000e-02  4.425731e-04  2.226520e-03  9.184502e-02  1.884308e-01
1.000000e-02  4.917479e-04  2.218107e-03  9.174441e-02  1.988922e-01
1.000000e-02  5.409227e-04  2.209627e-03  9.164262e-02  2.085083e-01
1.000000e-02  5.900975e-04  2.201100e-03  9.153983e-02  2.174164e-01
1.000000e-02  6.392723e-04  2.192537e-03  9.143619e-02  2.257172e-01
1.000000e-02  6.884471e-04  2.183941e-03  9.133173e-02  2.334961e-01
1.000000e-02  7.376219e-04  2.175318e-03  9.122650e-02  2.408234e-01
1.000000e-02  7.867967e-04  2.166676e-03  9.112059e-02  2.477524e-01
1.000000e-02  8.359714e-04  2.158015e-03  9.101400e-02  2.543304e-01
1.000000e-02  8.851462e-04  2.149331e-03  9.090668e-02  2.605988e-01
1.000000e-02  9.343210e-04  2.140637e-03  9.079878e-02  2.665863e-01
1.000000e-02  9.834958e-04  2.131925e-03  9.069020e-02  2.723236e-01
1.000000e-02  1.032671e-03  2.123209e-03  9.058107e-02  2.778320e-01
1.000000e-02  1.081845e-03  2.114474e-03  9.047126e-02  2.831345e-01
1.000000e-02  1.131020e-03  2.105729e-03  9.036082e-02  2.882507e-01
1.000000e-02  1.180195e-03  2.096984e-03  9.024988e-02  2.931915e-01
1.000000e-02  1.229370e-03  2.088222e-03  9.013827e-02  2.979752e-01
1.000000e-02  1.278545e-03  2.079454e-03  9.002606e-02  3.026123e-01
1.000000e-02  1.327719e-03  2.070671e-03  8.991317e-02  3.071167e-01
1.000000e-02  1.376894e-03  2.061891e-03  8.979979e-02  3.114929e-01
1.000000e-02  1.426069e-03  2.053102e-03  8.968577e-02  3.157547e-01
1.000000e-02  1.475244e-03  2.044298e-03  8.957107e-02  3.199081e-01
1.000000e-02  1.524419e-03  2.035495e-03  8.945583e-02  3.239594e-01
1.000000e-02  1.573593e-03  2.026680e-03  8.933991e-02  3.279175e-01
1.000000e-02  1.622768e-03  2.017867e-03  8.922344e-02  3.317856e-01
1.000000e-02  1.671943e-03  2.009041e-03  8.910630e-02  3.355705e-01
1.000000e-02  1.721118e-03  2.000209e-03  8.898852e-02  3.392776e-01
1.000000e-02  1.770292e-03  1.991372e-03  8.887011e-02  3.429115e-01
1.000000e-02  1.819467e-03  1.982530e-03  8.875106e-02  3.464752e-01
1.000000e-02  1.868642e-03  1.973679e-03  8.863133e-02  3.499741e-01
1.000000e-02  1.917817e-03  1.964824e-03  8.851097e-02  3.534103e-01
1.000000e-02  1.966992e-03  1.955971e-03  8.839002e-02  3.567871e-01
1.000000e-02  2.016166e-03  1.947107e-03  8.826835e-02  3.601089e-01
1.000000e-02  2.065341e-03  1.938232e-03  8.814595e-02  3.633789e-01
1.000000e-02  2.114516e-03  1.929356e-03  8.802291e-02  3.665977e-01
1.000000e-02  2.163691e-03  1.920470e-03  8.789916e-02  3.697693e-01
1.000000e-02  2.212866e-03  1.911589e-03  8.777481e-02  3.728943e-01
1.000000e-02  2.262040e-03  1.902698e-03  8.764969e-02  3.759773e-01
1.000000e-02  2.311215e-03  1.893798e-03  8.752385e-02  3.790192e-01
1.000000e-02  2.360390e-03  1.884897e-03  8.739733e-02  3.820213e-01
1.000000e-02  2.409565e-03  1.875985e-03  8.727004e-02  3.849861e-01
1.000000e-02  2.458740e-03  1.867074e-03  8.714206e-02  3.879150e-01
1.000000e-02  2.507914e-03  1.858151e-03  8.701328e-02  3.908112e-01
1.000000e-02  2.557089e-03  1.849237e-03  8.688390e-02  3.936722e-01
1.000000e-02  2.606264e-03  1.840304e-03  8.675362e-02  3.965042e-01
1.000000e-02  2.655439e-03  1.831370e-03  8.662261e-02  3.993057e-01
1.000000e-02  2.704614e-03  1.822430e-03  8.649084e-02  4.020782e-01
1.000000e-02  2.753788e-03  1.813491e-03  8.635834e-02  4.048233e-01
1.000000e-02  2.802963e-03  1.804536e-03  8.622493e-02  4.075432e-01
1.000000e-02  2.852138e-03  1.795582e-03  8.609080e-02  4.102371e-01
1.000000e-02  2.901313e-03  1.786624e-03  8.595585e-02  4.129074e-01
1.000000e-02  2.950487e-03  1.777660e-03  8.582009e-02  4.155540e-01
1.000000e-02  2.999662e-03  1.768694e-03  8.568351e-02  4.181793e-01
1.000000e-02  3.048837e-03  1.759715e-03  8.554603e-02  4.207832e-01
1.000000e-02  3.098012e-03  1.750742e-03  8.540782e-02  4.233658e-01
1.000000e-02  3.147187e-03  1.741757e-03  8.526866e-02  4.259300e-01
1.000000e-02  3.196361e-03  1.732764e-03  8.512859e-02  4.284760e-01
1.000000e-02  3.245536e-03  1.723775e-03  8.498775e-02  4.310028e-01
1.000000e-02  3.294711e-03  1.714776e-03  8.484597e-02  4.335129e-01
1.000000e-02  3.343886e-03  1.705767e-03  8.470323e-02  4.360069e-01
1.000000e-02  3.393061e-03  1.696759e-03  8.455963e-02  4.384850e-01
1.000000e-02  3.442235e-03  1.687740e-03  8.441503e-02  4.409485e-01
1.000000e-02  3.491410e-03  1.678725e-03  8.426962e-02  4.433960e-01
1.000000e-02  3.540585e-03  1.669706e-03  8.412326e-02  4.458298e-01
1.000000e-02  3.589760e-03  1.660671e-03  8.397581e-02  4.482513e-01
1.000000e-02  3.638935e-03  1.651638e-03  8.382745e-02  4.506599e-01
1.000000e-02  3.688109e-03  1.642602e-03  8.367815e-02  4.530556e-01
1.000000e-02  3.737284e-03  1.633555e-03  8.352775e-02  4.554405e-01
1.000000e-02  3.786459e-03  1.624503e-03  8.337636e-02  4.578140e-01
1.000000e-02  3.835634e-03  1.615453e-03  8.322402e-02  4.601761e-01
1.000000e-02  3.884808e-03  1.606392e-03  8.307054e-02  4.625290e-01
1.000000e-02  3.933983e-03  1.597326e-03  8.291603e-02  4.648720e-01
1.000000e-02  3.983158e-03  1.588254e-03  8.276042e-02  4.672058e-01
1.000000e-02  4.032333e-03  1.579181e-03  8.260378e-02  4.695305e-01
1.000000e-02  4.081508e-03  1.570098e-03  8.244595e-02  4.718475e-01
1.000000e-02  4.130682e-03  1.561018e-03  8.228713e-02  4.741554e-01
1.000000e-02  4.179857e-03  1.551926e-03  8.212709e-02  4.764565e-01
1.000000e-02  4.229032e-03  1.542832e-03  8.196591e-02  4.787506e-01
1.000000e-02  4.278207e-03  1.533734e-03  8.180361e-02  4.810371e-01
1.000000e-02  4.327382e-03  1.524632e-03  8.164012e-02  4.833176e-01
1.000000e-02  4.376556e-03  1.515521e-03  8.147537e-02  4.855927e-01
1.000000e-02  4.425731e-03  1.506400e-03  8.130934e-02  4.878624e-01
1.000000e-02  4.474906e-03  1.497279e-03  8.114214e-02  4.901264e-01
1.000000e-02  4.524081e-03  1.488153e-03  8.097367e-02  4.923859e-01
1.000000e-02  4.573256e-03  1.479029e-03  8.080403e-02  4.946396e-01
1.000000e-02  4.622430e-03  1.469885e-03  8.063288e-02  4.968910e-01
1.000000e-02  4.671605e-03  1.460746e-03  8.046057e-02  4.991373e-01
1.000000e-02  4.720780e-03  1.451600e-03  8.028689e-02  5.013802e-01
1.000000e-02  4.769955e-03  1.442446e-03  8.011180e-02  5.036203e-01
1.000000e-02  4.819130e-03  1.433286e-03  7.993532e-02  5.058578e-01
1.000000e-02  4.868304e-03  1.424125e-03  7.975752e-02  5.080917e-01
1.000000e-02  4.917479e-03  1.414960e-03  7.957827e-02  5.103241e-01
1.000000e-02  4.966654e-03  1.405782e-03  7.939748e-02  5.125549e-01
1.000000e-02  5.015829e-03  1.396609e-03  7.921537e-02  5.147827e-01
1.000000e-02  5.065003e-03  1.387423e-03  7.903164e-02  5.170105e-01
1.000000e-02  5.114178e-03  1.378237e-03  7.884645e-02  5.192368e-01
1.000000e-02  5.163353e-03  1.369047e-03  7.865977e-02  5.214615e-01
1.000000e-02  5.212528e-03  1.359841e-03  7.847133e-02  5.236877e-01
