# e[GeV/fm^3]  nB[1/fm^3]  P[GeV/fm^3]  T[GeV]  muB[GeV]
1.000000e-02  0.000000e+00  2.289984e-03  9.262000e-02  0.000000e+00
1.000000e-02  4.909905e-05  2.288422e-03  9.260188e-02  3.468018e-02
1.000000e-02  9.819810e-05  2.284215e-03  9.255305e-02  6.578369e-02
1.000000e-02  1.472972e-04  2.278299e-03  9.248419e-02  9.213867e-02
1.000000e-02  1.963962e-04  2.271375e-03  9.240338e-02  1.142883e-01
1.000000e-02  2.454953e-04  2.263864e-03  9.231541e-02  1.331177e-01
1.000000e-02  2.945943e-04  2.255987e-03  9.222281e-02  1.493958e-01
1.000000e-02  3.436934e-04  2.247877e-03  9.212714e-02  1.636902e-01
1.000000e-02  3.927924e-04  2.239606e-03  9.202920e-02  1.764282e-01
1.000000e-02  4.418915e-04  2.231223e-03  9.192955e-02  1.879211e-01
1.000000e-02  4.909905e-04  2.222760e-03  9.182853e-02  1.983948e-01
1.000000e-02  5.400896e-04  2.214232e-03  9.172633e-02  2.080231e-01
1.000000e-02  5.891886e-04  2.205656e-03  9.162314e-02  2.169403e-01
1.000000e-02  6.382877e-04  2.197034e-03  9.151900e-02  2.252533e-01
1.000000e-02  6.873867e-04  2.188391e-03  9.141413e-02  2.330444e-01
1.000000e-02  7.364858e-04  2.179719e-03  9.130849e-02  2.403809e-01
1.000000e-02  7.855848e-04  2.171015e-03  9.120203e-02  2.473236e-01
1.000000e-02  8.346839e-04  2.162307e-03  9.109504e-02  2.539124e-01
1.000000e-02  8.837829e-04  2.153566e-03  9.098722e-02  2.601929e-01
1.000000e-02  9.328820e-04  2.144822e-03  9.087887e-02  2.661911e-01
1.000000e-02  9.819810e-04  2.136058e-03  9.076983e-02  2.719391e-01
1.000000e-02  1.031080e-03  2.127288e-03  9.066021e-02  2.774597e-01
1.000000e-02  1.080179e-03  2.118503e-03  9.054995e-02  2.827728e-01
1.000000e-02  1.129278e-03  2.109712e-03  9.043910e-02  2.878983e-01
1.000000e-02  1.178377e-03  2.100907e-03  9.032762e-02  2.928497e-01
1.000000e-02  1.227476e-03  2.092097e-03  9.021555e-02  2.976440e-01
1.000000e-02  1.276575e-03  2.083274e-03  9.010284e-02  3.022919e-01
1.000000e-02  1.325674e-03  2.074448e-03  8.998955e-02  3.068054e-01
1.000000e-02  1.374773e-03  2.065614e-03  8.987566e-02  3.111923e-01
1.000000e-02  1.423873e-03  2.056772e-03  8.976115e-02  3.154633e-01
1.000000e-02  1.472972e-03  2.047920e-03  8.964600e-02  3.196266e-01
1.000000e-02  1.522071e-03  2.039065e-03  8.953026e-02  3.236877e-01
1.000000e-02  1.571170e-03  2.030202e-03  8.941388e-02  3.276550e-01
1.000000e-02  1.620269e-03  2.021333e-03  8.929687e-02  3.315338e-01
1.000000e-02  1.669368e-03  2.012455e-03  8.917923e-02  3.353287e-01
1.000000e-02  1.718467e-03  2.003582e-03  8.906104e-02  3.390442e-01
1.000000e-02  1.767566e-03  1.994695e-03  8.894213e-02  3.426880e-01
1.000000e-02  1.816665e-03  1.985797e-03  8.882254e-02  3.462616e-01
1.000000e-02  1.865764e-03  1.976904e-03  8.870241e-02  3.497681e-01
1.000000e-02  1.914863e-03  1.968005e-03  8.858159e-02  3.532135e-01
1.000000e-02  1.963962e-03  1.959094e-03  8.846005e-02  3.566010e-01
1.000000e-02  2.013061e-03  1.950180e-03  8.833788e-02  3.599319e-01
1.000000e-02  2.062160e-03  1.941264e-03  8.821507e-02  3.632095e-01
1.000000e-02  2.111259e-03  1.932344e-03  8.809159e-02  3.664368e-01
1.000000e-02  2.160358e-03  1.923414e-03  8.796738e-02  3.696167e-01
1.000000e-02  2.209457e-03  1.914486e-03  8.784253e-02  3.727509e-01
1.000000e-02  2.258556e-03  1.905541e-03  8.771687e-02  3.758430e-01
1.000000e-02  2.307655e-03  1.896599e-03  8.759058e-02  3.788933e-01
1.000000e-02  2.356754e-03  1.887651e-03  8.746356e-02  3.819046e-01
1.000000e-02  2.405854e-03  1.878701e-03  8.733586e-02  3.848770e-01
1.000000e-02  2.454953e-03  1.869748e-03  8.720743e-02  3.878143e-01
1.000000e-02  2.504052e-03  1.860782e-03  8.707819e-02  3.907181e-01
1.000000e-02  2.553151e-03  1.851810e-03  8.694818e-02  3.935898e-01
1.000000e-02  2.602250e-03  1.842838e-03  8.681749e-02  3.964287e-01
1.000000e-02  2.651349e-03  1.833864e-03  8.668603e-02  3.992386e-01
1.000000e-02  2.700448e-03  1.824887e-03  8.655385e-02  4.020187e-01
1.000000e-02  2.749547e-03  1.815894e-03  8.642076e-02  4.047729e-01
1.000000e-02  2.798646e-03  1.806907e-03  8.628699e-02  4.074997e-01
1.000000e-02  2.847745e-03  1.797915e-03  8.615241e-02  4.102020e-01
