# e[GeV/fm^3]  nB[1/fm^3]  P[GeV/fm^3]  T[GeV]  muB[GeV]  muS[GeV]  muQ[GeV]
1.000000e-02  0.000000e+00  2.287912e-03  9.256347e-02  0.000000e+00  0.000000e+00  0.000000e+00
1.000000e-02  4.917716e-05  2.286337e-03  9.254521e-02  3.486328e-02  0.000000e+00  0.000000e+00
1.000000e-02  9.835432e-05  2.282121e-03  9.249624e-02  6.608887e-02  0.000000e+00  0.000000e+00
1.000000e-02  1.475315e-04  2.276197e-03  9.242725e-02  9.251709e-02  0.000000e+00  0.000000e+00
1.000000e-02  1.967086e-04  2.269273e-03  9.234639e-02  1.146973e-01  0.000000e+00  0.000000e+00
1.000000e-02  2.458858e-04  2.261757e-03  9.225833e-02  1.335449e-01  0.000000e+00  0.000000e+00
1.000000e-02  2.950630e-04  2.253887e-03  9.216578e-02  1.498230e-01  0.000000e+00  0.000000e+00
1.000000e-02  3.442401e-04  2.245785e-03  9.207016e-02  1.641174e-01  0.000000e+00  0.000000e+00
1.000000e-02  3.934173e-04  2.237521e-03  9.197226e-02  1.768555e-01  0.000000e+00  0.000000e+00
1.000000e-02  4.425944e-04  2.229150e-03  9.187269e-02  1.883423e-01  0.000000e+00  0.000000e+00
1.000000e-02  4.917716e-04  2.220693e-03  9.177172e-02  1.988098e-01  0.000000e+00  0.000000e+00
1.000000e-02  5.409488e-04  2.212182e-03  9.166966e-02  2.084320e-01  0.000000e+00  0.000000e+00
1.000000e-02  5.901259e-04  2.203616e-03  9.156656e-02  2.173431e-01  0.000000e+00  0.000000e+00
1.000000e-02  6.393031e-04  2.195015e-03  9.146260e-02  2.256470e-01  0.000000e+00  0.000000e+00
1.000000e-02  6.884803e-04  2.186382e-03  9.135782e-02  2.334320e-01  0.000000e+00  0.000000e+00
1.000000e-02  7.376574e-04  2.177727e-03  9.125232e-02  2.407623e-01  0.000000e+00  0.000000e+00
1.000000e-02  7.868346e-04  2.169043e-03  9.114604e-02  2.476974e-01  0.000000e+00  0.000000e+00
1.000000e-02  8.360117e-04  2.160341e-03  9.103909e-02  2.542816e-01  0.000000e+00  0.000000e+00
1.000000e-02  8.851889e-04  2.151625e-03  9.093151e-02  2.605530e-01  0.000000e+00  0.000000e+00
1.000000e-02  9.343661e-04  2.142900e-03  9.082333e-02  2.665436e-01  0.000000e+00  0.000000e+00
1.000000e-02  9.835432e-04  2.134152e-03  9.071443e-02  2.722855e-01  0.000000e+00  0.000000e+00
1.000000e-02  1.032720e-03  2.125395e-03  9.060494e-02  2.777985e-01  0.000000e+00  0.000000e+00
1.000000e-02  1.081898e-03  2.116625e-03  9.049482e-02  2.831055e-01  0.000000e+00  0.000000e+00
1.000000e-02  1.131075e-03  2.107853e-03  9.038415e-02  2.882233e-01  0.000000e+00  0.000000e+00
1.000000e-02  1.180252e-03  2.099063e-03  9.027281e-02  2.931702e-01  0.000000e+00  0.000000e+00
1.000000e-02  1.229429e-03  2.090271e-03  9.016092e-02  2.979568e-01  0.000000e+00  0.000000e+00
1.000000e-02  1.278606e-03  2.081469e-03  9.004839e-02  3.025986e-01  0.000000e+00  0.000000e+00
1.000000e-02  1.327783e-03  2.072660e-03  8.993528e-02  3.071045e-01  0.000000e+00  0.000000e+00
