# e[GeV/fm^3]  nB[1/fm^3]  P[GeV/fm^3]  T[GeV]  muB[GeV]  muS[GeV]  muQ[GeV]
1.000000e-02  0.000000e+00  2.285039e-03  9.253389e-02  6.103516e-06  7.572383e-08  -4.720333e-09
1.000000e-02  4.897825e-05  2.283484e-03  9.251581e-02  3.488770e-02  4.424864e-04  -2.758458e-05
1.000000e-02  9.795650e-05  2.279316e-03  9.246725e-02  6.616211e-02  8.853010e-04  -5.520608e-05
1.000000e-02  1.469348e-04  2.273450e-03  9.239876e-02  9.265137e-02  1.328299e-03  -8.291558e-05
1.000000e-02  1.959130e-04  2.266589e-03  9.231840e-02  1.149170e-01  1.771216e-03  -1.107873e-04
1.000000e-02  2.448913e-04  2.259154e-03  9.223097e-02  1.338440e-01  2.214907e-03  -1.387637e-04
1.000000e-02  2.938695e-04  2.251364e-03  9.213901e-02  1.502136e-01  2.659249e-03  -1.668356e-04
1.000000e-02  3.428478e-04  2.243340e-03  9.204393e-02  1.645996e-01  3.102742e-03  -1.948957e-04
1.000000e-02  3.918260e-04  2.235158e-03  9.194658e-02  1.774292e-01  3.547604e-03  -2.233304e-04
1.000000e-02  4.408043e-04  2.226872e-03  9.184755e-02  1.890076e-01  3.992162e-03  -2.516097e-04
1.000000e-02  4.897825e-04  2.218504e-03  9.174712e-02  1.995697e-01  4.437862e-03  -2.804634e-04
1.000000e-02  5.387608e-04  2.210074e-03  9.164552e-02  2.092865e-01  4.882941e-03  -3.087875e-04
1.000000e-02  5.877390e-04  2.201600e-03  9.154291e-02  2.182922e-01  5.329382e-03  -3.377958e-04
1.000000e-02  6.367173e-04  2.193087e-03  9.143940e-02  2.266907e-01  5.774999e-03  -3.664994e-04
1.000000e-02  6.856955e-04  2.184551e-03  9.133512e-02  2.345673e-01  6.222054e-03  -3.955718e-04
1.000000e-02  7.346738e-04  2.175979e-03  9.122998e-02  2.419922e-01  6.669336e-03  -4.248618e-04
1.000000e-02  7.836520e-04  2.167388e-03  9.112412e-02  2.490204e-01  7.116985e-03  -4.537860e-04
1.000000e-02  8.326303e-04  2.158782e-03  9.101758e-02  2.556976e-01  7.564880e-03  -4.834191e-04
1.000000e-02  8.816085e-04  2.150159e-03  9.091035e-02  2.620605e-01  8.013594e-03  -5.132886e-04
1.000000e-02  9.305868e-04  2.141521e-03  9.080245e-02  2.681458e-01  8.462169e-03  -5.426688e-04
1.000000e-02  9.795650e-04  2.132878e-03  9.069396e-02  2.739777e-01  8.911692e-03  -5.727939e-04
1.000000e-02  1.028543e-03  2.124223e-03  9.058483e-02  2.795807e-01  9.361299e-03  -6.029113e-04
1.000000e-02  1.077522e-03  2.115548e-03  9.047498e-02  2.849792e-01  9.811652e-03  -6.331615e-04
1.000000e-02  1.126500e-03  2.106879e-03  9.036463e-02  2.901871e-01  1.026256e-02  -6.634257e-04
