# e[GeV/fm^3]  nB[1/fm^3]  P[GeV/fm^3]  T[GeV]  muB[GeV]  muS[GeV]  muQ[GeV]
1.000000e-02  0.000000e+00  2.289984e-03  9.262000e-02  6.103516e-06  7.624236e-08  -5.067468e-09
1.000000e-02  4.887074e-05  2.288429e-03  9.260197e-02  3.464355e-02  4.430158e-04  -2.952295e-05
1.000000e-02  9.774148e-05  2.284264e-03  9.255355e-02  6.573486e-02  8.860200e-04  -5.906774e-05
1.000000e-02  1.466122e-04  2.278391e-03  9.248510e-02  9.213257e-02  1.329610e-03  -8.875509e-05
1.000000e-02  1.954830e-04  2.271519e-03  9.240474e-02  1.143494e-01  1.773230e-03  -1.185346e-04
1.000000e-02  2.443537e-04  2.264058e-03  9.231717e-02  1.332581e-01  2.217351e-03  -1.484312e-04
1.000000e-02  2.932245e-04  2.256234e-03  9.222499e-02  1.496216e-01  2.661015e-03  -1.782260e-04
1.000000e-02  3.420952e-04  2.248172e-03  9.212963e-02  1.640137e-01  3.106167e-03  -2.083790e-04
1.000000e-02  3.909659e-04  2.239952e-03  9.203201e-02  1.768494e-01  3.551331e-03  -2.386649e-04
1.000000e-02  4.398367e-04  2.231623e-03  9.193267e-02  1.884369e-01  3.996776e-03  -2.691214e-04
1.000000e-02  4.887074e-04  2.223207e-03  9.183188e-02  1.990082e-01  4.442276e-03  -2.994520e-04
1.000000e-02  5.375782e-04  2.214735e-03  9.172996e-02  2.087341e-01  4.888587e-03  -3.303859e-04
1.000000e-02  5.864489e-04  2.206219e-03  9.162704e-02  2.177490e-01  5.335030e-03  -3.611091e-04
1.000000e-02  6.353196e-04  2.197660e-03  9.152316e-02  2.261597e-01  5.782171e-03  -3.915393e-04
1.000000e-02  6.841904e-04  2.189069e-03  9.141843e-02  2.340515e-01  6.229951e-03  -4.230740e-04
1.000000e-02  7.330611e-04  2.180453e-03  9.131293e-02  2.414886e-01  6.677802e-03  -4.542475e-04
1.000000e-02  7.819319e-04  2.171816e-03  9.120670e-02  2.485260e-01  7.125769e-03  -4.849844e-04
1.000000e-02  8.308026e-04  2.163164e-03  9.109979e-02  2.552124e-01  7.574245e-03  -5.163839e-04
1.000000e-02  8.796734e-04  2.154498e-03  9.099221e-02  2.615875e-01  8.023745e-03  -5.479082e-04
1.000000e-02  9.285441e-04  2.145814e-03  9.088394e-02  2.676819e-01  8.473659e-03  -5.797100e-04
1.000000e-02  9.774148e-04  2.137117e-03  9.077500e-02  2.735260e-01  8.923762e-03  -6.112374e-04
1.000000e-02  1.026286e-03  2.128414e-03  9.066546e-02  2.791412e-01  9.374409e-03  -6.434337e-04
1.000000e-02  1.075156e-03  2.119700e-03  9.055529e-02  2.845490e-01  9.826018e-03  -6.756633e-04
1.000000e-02  1.124027e-03  2.110976e-03  9.044449e-02  2.897675e-01  1.027751e-02  -7.077395e-04
1.000000e-02  1.172898e-03  2.102239e-03  9.033301e-02  2.948151e-01  1.072990e-02  -7.404942e-04
1.000000e-02  1.221769e-03  2.093508e-03  9.022103e-02  2.997009e-01  1.118234e-02  -7.729093e-04
1.000000e-02  1.270639e-03  2.084757e-03  9.010832e-02  3.044411e-01  1.163589e-02  -8.051687e-04
1.000000e-02  1.319510e-03  2.076010e-03  8.999507e-02  3.090454e-01  1.208956e-02  -8.377941e-04
