# e[GeV/fm^3]  nB[1/fm^3]  P[GeV/fm^3]  T[GeV]  muB[GeV]  muS[GeV]  muQ[GeV]
1.000000e-02  0.000000e+00  2.287797e-03  9.256229e-02  6.103516e-06  7.571738e-08  -4.747489e-09
1.000000e-02  4.897868e-05  2.286236e-03  9.254417e-02  3.485107e-02  4.407073e-04  -2.755238e-05
1.000000e-02  9.795736e-05  2.282053e-03  9.249552e-02  6.607666e-02  8.811378e-04  -5.507873e-05
1.000000e-02  1.469360e-04  2.276174e-03  9.242693e-02  9.255371e-02  1.322307e-03  -8.277714e-05
1.000000e-02  1.959147e-04  2.269289e-03  9.234639e-02  1.148132e-01  1.763298e-03  -1.105336e-04
1.000000e-02  2.448934e-04  2.261818e-03  9.225869e-02  1.337402e-01  2.204798e-03  -1.385488e-04
1.000000e-02  2.938721e-04  2.253995e-03  9.216646e-02  1.501160e-01  2.647254e-03  -1.664932e-04
1.000000e-02  3.428507e-04  2.245942e-03  9.207115e-02  1.645020e-01  3.089005e-03  -1.945930e-04
1.000000e-02  3.918294e-04  2.237722e-03  9.197349e-02  1.773376e-01  3.531605e-03  -2.227790e-04
1.000000e-02  4.408081e-04  2.229403e-03  9.187419e-02  1.889221e-01  3.973936e-03  -2.511283e-04
1.000000e-02  4.897868e-04  2.220996e-03  9.177344e-02  1.994873e-01  4.417187e-03  -2.796163e-04
1.000000e-02  5.387655e-04  2.212537e-03  9.167161e-02  2.092041e-01  4.860769e-03  -3.082201e-04
1.000000e-02  5.877441e-04  2.204029e-03  9.156873e-02  2.182129e-01  5.304638e-03  -3.369702e-04
1.000000e-02  6.367228e-04  2.195479e-03  9.146491e-02  2.266174e-01  5.748816e-03  -3.657223e-04
1.000000e-02  6.857015e-04  2.186901e-03  9.136027e-02  2.345001e-01  6.193230e-03  -3.947351e-04
1.000000e-02  7.346802e-04  2.178297e-03  9.125485e-02  2.419281e-01  6.638814e-03  -4.238182e-04
1.000000e-02  7.836588e-04  2.169673e-03  9.114872e-02  2.489594e-01  7.084020e-03  -4.535121e-04
1.000000e-02  8.326375e-04  2.161030e-03  9.104186e-02  2.556396e-01  7.529870e-03  -4.824942e-04
1.000000e-02  8.816162e-04  2.152380e-03  9.093441e-02  2.620056e-01  7.976391e-03  -5.124641e-04
1.000000e-02  9.305949e-04  2.143710e-03  9.082623e-02  2.680923e-01  8.423071e-03  -5.419798e-04
1.000000e-02  9.795736e-04  2.135029e-03  9.071742e-02  2.739273e-01  8.869981e-03  -5.718724e-04
1.000000e-02  1.028552e-03  2.126337e-03  9.060798e-02  2.795349e-01  9.318249e-03  -6.022387e-04
1.000000e-02  1.077531e-03  2.117636e-03  9.049790e-02  2.849350e-01  9.766020e-03  -6.319055e-04
1.000000e-02  1.126510e-03  2.108930e-03  9.038723e-02  2.901459e-01  1.021413e-02  -6.621725e-04
1.000000e-02  1.175488e-03  2.100215e-03  9.027593e-02  2.951843e-01  1.066338e-02  -6.923993e-04
1.000000e-02  1.224467e-03  2.091491e-03  9.016400e-02  3.000641e-01  1.111300e-02  -7.229452e-04
1.000000e-02  1.273446e-03  2.082762e-03  9.005147e-02  3.047958e-01  1.156280e-02  -7.533367e-04
1.000000e-02  1.322424e-03  2.074020e-03  8.993827e-02  3.093933e-01  1.201335e-02  -7.844960e-04
1.000000e-02  1.371403e-03  2.065281e-03  8.982452e-02  3.138641e-01  1.246458e-02  -8.157327e-04
1.000000e-02  1.420382e-03  2.056533e-03  8.971014e-02  3.182175e-01  1.291662e-02  -8.469246e-04
1.000000e-02  1.469360e-03  2.047785e-03  8.959517e-02  3.224625e-01  1.336890e-02  -8.786937e-04
1.000000e-02  1.518339e-03  2.039025e-03  8.947952e-02  3.266052e-01  1.382127e-02  -9.099621e-04
1.000000e-02  1.567318e-03  2.030259e-03  8.936324e-02  3.306534e-01  1.427464e-02  -9.414591e-04
1.000000e-02  1.616296e-03  2.021493e-03  8.924636e-02  3.346115e-01  1.472938e-02  -9.739723e-04
1.000000e-02  1.665275e-03  2.012722e-03  8.912886e-02  3.384857e-01  1.518307e-02  -1.005469e-03
1.000000e-02  1.714254e-03  2.003947e-03  8.901072e-02  3.422806e-01  1.563871e-02  -1.038014e-03
1.000000e-02  1.763232e-03  1.995170e-03  8.889194e-02  3.460014e-01  1.609440e-02  -1.069601e-03
1.000000e-02  1.812211e-03  1.986389e-03  8.877253e-02  3.496521e-01  1.655050e-02  -1.102312e-03
1.000000e-02  1.861190e-03  1.977601e-03  8.865244e-02  3.532364e-01  1.700757e-02  -1.135129e-03
1.000000e-02  1.910168e-03  1.968811e-03  8.853172e-02  3.567581e-01  1.746621e-02  -1.168659e-03
1.000000e-02  1.959147e-03  1.960016e-03  8.841032e-02  3.602203e-01  1.792465e-02  -1.201774e-03
1.000000e-02  2.008126e-03  1.951216e-03  8.828823e-02  3.636261e-01  1.838355e-02  -1.235007e-03
1.000000e-02  2.057104e-03  1.942415e-03  8.816552e-02  3.669769e-01  1.884267e-02  -1.267347e-03
1.000000e-02  2.106083e-03  1.933610e-03  8.804212e-02  3.702774e-01  1.930289e-02  -1.300977e-03
1.000000e-02  2.155062e-03  1.924799e-03  8.791800e-02  3.735306e-01  1.976414e-02  -1.334757e-03
1.000000e-02  2.204041e-03  1.915989e-03  8.779325e-02  3.767372e-01  2.022692e-02  -1.370206e-03
1.000000e-02  2.253019e-03  1.907173e-03  8.766777e-02  3.798996e-01  2.068922e-02  -1.404292e-03
1.000000e-02  2.301998e-03  1.898352e-03  8.754156e-02  3.830200e-01  2.115240e-02  -1.437737e-03
1.000000e-02  2.350977e-03  1.889533e-03  8.741472e-02  3.860992e-01  2.161652e-02  -1.472226e-03
1.000000e-02  2.399955e-03  1.880713e-03  8.728716e-02  3.891418e-01  2.208218e-02  -1.508207e-03
1.000000e-02  2.448934e-03  1.871878e-03  8.715878e-02  3.921478e-01  2.254753e-02  -1.543114e-03
1.000000e-02  2.497913e-03  1.863058e-03  8.702986e-02  3.951157e-01  2.301351e-02  -1.576509e-03
1.000000e-02  2.546891e-03  1.854219e-03  8.690003e-02  3.980530e-01  2.348029e-02  -1.611672e-03
1.000000e-02  2.595870e-03  1.845383e-03  8.676952e-02  4.009583e-01  2.394952e-02  -1.648629e-03
1.000000e-02  2.644849e-03  1.836538e-03  8.663820e-02  4.038330e-01  2.441907e-02  -1.684513e-03
1.000000e-02  2.693827e-03  1.827697e-03  8.650620e-02  4.066772e-01  2.488875e-02  -1.720409e-03
1.000000e-02  2.742806e-03  1.818848e-03  8.637338e-02  4.094933e-01  2.535887e-02  -1.755802e-03
1.000000e-02  2.791785e-03  1.810001e-03  8.623983e-02  4.122826e-01  2.583119e-02  -1.793524e-03
1.000000e-02  2.840763e-03  1.801150e-03  8.610548e-02  4.150467e-01  2.630416e-02  -1.830801e-03
1.000000e-02  2.889742e-03  1.792295e-03  8.597035e-02  4.177841e-01  2.677773e-02  -1.866401e-03
1.000000e-02  2.938721e-03  1.783437e-03  8.583440e-02  4.204987e-01  2.725273e-02  -1.904137e-03
1.000000e-02  2.987699e-03  1.774570e-03  8.569760e-02  4.231903e-01  2.772805e-02  -1.941497e-03
1.000000e-02  3.036678e-03  1.765710e-03  8.556007e-02  4.258598e-01  2.820567e-02  -1.980874e-03
1.000000e-02  3.085657e-03  1.756846e-03  8.542172e-02  4.285065e-01  2.868217e-02  -2.017493e-03
