# e(GeV/fm^3)  rho_B(1/fm^3)  c2_hat  zeta_hat(GeV/fm^3)  eta_hat(GeV/fm^3)
  1.000000e-02  0.000000e+00  2.176829e-01  5.344187e-04  1.925286e-03
  1.000000e-02  4.897825e-05  2.173461e-01  5.368381e-04  1.924053e-03
  1.000000e-02  9.795650e-05  2.164464e-01  5.432861e-04  1.920748e-03
  1.000000e-02  1.469348e-04  2.151926e-01  5.521942e-04  1.916097e-03
  1.000000e-02  1.959130e-04  2.137426e-01  5.623893e-04  1.910655e-03
  1.000000e-02  2.448913e-04  2.121896e-01  5.731894e-04  1.904758e-03
  1.000000e-02  2.938695e-04  2.105833e-01  5.842188e-04  1.898579e-03
  1.000000e-02  3.428478e-04  2.089523e-01  5.952737e-04  1.892212e-03
  1.000000e-02  3.918260e-04  2.073124e-01  6.062337e-04  1.885722e-03
  1.000000e-02  4.408043e-04  2.056738e-01  6.170358e-04  1.879150e-03
  1.000000e-02  4.897825e-04  2.040419e-01  6.276377e-04  1.872513e-03
  1.000000e-02  5.387608e-04  2.024209e-01  6.380030e-04  1.865826e-03
  1.000000e-02  5.877390e-04  2.008136e-01  6.481286e-04  1.859102e-03
  1.000000e-02  6.367173e-04  1.992218e-01  6.579917e-04  1.852345e-03
  1.000000e-02  6.856955e-04  1.976464e-01  6.675901e-04  1.845573e-03
  1.000000e-02  7.346738e-04  1.960880e-01  6.769388e-04  1.838774e-03
  1.000000e-02  7.836520e-04  1.945467e-01  6.860150e-04  1.831959e-03
  1.000000e-02  8.326303e-04  1.930230e-01  6.948372e-04  1.825130e-03
  1.000000e-02  8.816085e-04  1.915177e-01  7.033881e-04  1.818285e-03
  1.000000e-02  9.305868e-04  1.900296e-01  7.116798e-04  1.811428e-03
  1.000000e-02  9.795650e-04  1.885596e-01  7.197329e-04  1.804571e-03
  1.000000e-02  1.028543e-03  1.871076e-01  7.275217e-04  1.797703e-03
  1.000000e-02  1.077522e-03  1.856724e-01  7.350600e-04  1.790817e-03
  1.000000e-02  1.126500e-03  1.842552e-01  7.423636e-04  1.783936e-03
  1.000000e-02  1.175478e-03  1.828545e-01  7.494236e-04  1.777035e-03
  1.000000e-02  1.224456e-03  1.814705e-01  7.562443e-04  1.770139e-03
  1.000000e-02  1.273435e-03  1.801032e-01  7.628346e-04  1.763236e-03
  1.000000e-02  1.322413e-03  1.787520e-01  7.691955e-04  1.756325e-03
  1.000000e-02  1.371391e-03  1.774176e-01  7.753332e-04  1.749405e-03
  1.000000e-02  1.420369e-03  1.760983e-01  7.812462e-04  1.742478e-03
  1.000000e-02  1.469348e-03  1.747948e-01  7.869454e-04  1.735554e-03
  1.000000e-02  1.518326e-03  1.735063e-01  7.924345e-04  1.728628e-03
  1.000000e-02  1.567304e-03  1.722325e-01  7.976980e-04  1.721687e-03
  1.000000e-02  1.616282e-03  1.709742e-01  8.027742e-04  1.714747e-03
  1.000000e-02  1.665261e-03  1.697297e-01  8.076431e-04  1.707805e-03
  1.000000e-02  1.714239e-03  1.685001e-01  8.122986e-04  1.700852e-03
  1.000000e-02  1.763217e-03  1.672843e-01  8.167856e-04  1.693905e-03
  1.000000e-02  1.812195e-03  1.660820e-01  8.210610e-04  1.686949e-03
  1.000000e-02  1.861174e-03  1.648934e-01  8.251561e-04  1.679990e-03
  1.000000e-02  1.910152e-03  1.637180e-01  8.290608e-04  1.673026e-03
  1.000000e-02  1.959130e-03  1.625555e-01  8.327812e-04  1.666056e-03
  1.000000e-02  2.008108e-03  1.614057e-01  8.363371e-04  1.659088e-03
  1.000000e-02  2.057087e-03  1.602683e-01  8.397018e-04  1.652109e-03
  1.000000e-02  2.106065e-03  1.591437e-01  8.429086e-04  1.645129e-03
  1.000000e-02  2.155043e-03  1.580310e-01  8.459238e-04  1.638144e-03
  1.000000e-02  2.204021e-03  1.569304e-01  8.487997e-04  1.631167e-03
  1.000000e-02  2.253000e-03  1.558411e-01  8.514916e-04  1.624173e-03
  1.000000e-02  2.301978e-03  1.547637e-01  8.540328e-04  1.617181e-03
  1.000000e-02  2.350956e-03  1.536973e-01  8.564064e-04  1.610183e-03
